SampleID	Group	pc1	pc2
P210	Vannamei WT	0.287183838	-0.03413138
P212	Vannamei WT	-0.184982061	-0.181297776
1IS	WT	-0.246009363	-0.17291059
IE9	Gen 1	0.343817742	0.035212827
P2-14	Vannamei WT	-0.084286743	-0.262731294
P2-11	Vannamei WT	0.017675462	-0.343809674
IE3	Gen 1	0.219854772	0.046549023
IE2	Gen 1	-0.180990607	0.232660946
IE5	Gen 1	0.006786419	0.197496979
IE7	Gen 1	0.125915747	0.186537193
IA9	Gen 2	-0.335139935	0.118335913
IA8	Gen 2	-0.073392086	0.058294025
IA5	Gen 2	-0.344029337	0.218085551
IA4	Gen 2	-0.290567082	0.210083846
IA7	Gen 2	-0.257153514	0.153794964
P2-9	Vannamei WT	-0.260775313	-0.163051894
IA3	Gen 2	0.317887828	0.111312566
IA2	Gen 2	0.213094107	0.150320078
IL6	Gen 1	-0.084390674	0.06221506
IE8	Gen 1	0.353808603	0.093891423
IS	WT	0.0081254	-0.376623988
P25	Vannamei WT	-0.0350898	-0.298985721
P24	Vannamei WT	0.066207988	-0.276996906
IL4	Gen 1	-0.291996732	0.094974184
IL2	Gen 1	0.066803345	0.140431564
IL3	Gen 1	-0.081781102	-0.027365836
IL1	Gen 1	0.364543601	0.084481232
P28	Vannamei WT	0.154398901	-0.041616372
IL8	Gen 1	0.204480596	-0.015155946