sample	group	chao1_allprobiotics	observed_otus_allprobiotics	shannon_allprobiotics	simpson_allprobiotics	chao1_genus	observed_otus_genus	shannon_genus	simpson_genus	chao1_species	observed_otus_species	shannon_species	simpson_species
IE2	Gen1	12.487	10.267	0.343	0.082	7.836	6.903	0.268	0.067	3.959	3.364	1.422	0.557
IE3	Gen1	17.544	13.424	0.291	0.062	9.453	8.211	0.2	0.044	6.48	5.213	1.878	0.671
IE5	Gen1	17.068	13.869	0.804	0.274	10.993	9.343	0.723	0.261	5.185	4.526	1.691	0.608
IE7	Gen1	11.669	9.951	0.223	0.047	7.426	6.639	0.162	0.035	3.585	3.312	1.337	0.53
IE8	Gen1	13.968	10.203	0.117	0.022	10.115	7.257	0.075	0.014	3.164	2.946	0.938	0.358
IE9	Gen1	19.761	14.799	0.344	0.077	12.792	10.759	0.267	0.061	5.266	4.04	0.933	0.318
IL1	Gen1	12.968	10.359	0.112	0.021	7.998	6.949	0.069	0.013	4.063	3.41	1.084	0.401
IL2	Gen1	20.841	14.427	0.888	0.293	7.997	7.995	0.801	0.28	13.863	6.432	1.941	0.625
IL3	Gen1	27.316	19.457	1.632	0.574	18.783	12.34	1.488	0.559	8.275	7.117	2.556	0.802
IL4	Gen1	9.283	7.505	1.2	0.376	6.307	5.769	1.073	0.352	2.207	1.736	nan	nan
IL6	Gen1	18.47	14.027	0.528	0.124	11.339	8.946	0.422	0.105	6.036	5.081	2.049	0.712
IL8	Gen1	22.709	15.523	0.354	0.078	13.881	11.407	0.314	0.072	6.768	4.116	nan	nan
IA2	Gen2	11.997	9.48	0.135	0.027	7.257	6.127	0.079	0.016	3.895	3.353	1.079	0.409
IA3	Gen2	13.844	10.809	0.124	0.024	8.743	7.469	0.085	0.016	4.029	3.34	1.121	0.424
IA4	Gen2	10.845	8.451	0.775	0.223	6.334	5.962	0.695	0.209	3.511	2.489	nan	nan
IA5	Gen2	9.526	6.361	0.78	0.311	5.945	4.784	0.747	0.306	2.164	1.577	nan	nan
IA7	Gen2	11.551	8.699	0.275	0.06	7.354	6.045	0.195	0.044	3.203	2.654	nan	nan
IA8	Gen2	7.913	6.419	0.119	0.024	5.897	4.913	0.083	0.017	1.577	1.506	nan	nan
IA9	Gen2	14.199	9.498	1.095	0.338	9.088	7.379	1.019	0.326	3.236	2.119	nan	nan